Product,Category,Revenue,Profit,Quantity,Region,Date
Laptop,Electronics,1200,300,1,North,2024-05-01
Smartphone,Electronics,800,200,2,South,2024-05-02
Desk Chair,Furniture,150,50,3,East,2024-05-03
Coffee Maker,Appliances,100,30,1,West,2024-05-04
Monitor,Electronics,300,80,2,North,2024-05-05
Keyboard,Electronics,50,15,5,South,2024-05-06
Office Desk,Furniture,450,120,1,East,2024-05-07
Bluetooth Speaker,Electronics,120,40,2,West,2024-05-08
Tablet,Electronics,500,150,1,North,2024-05-09
Printer,Electronics,200,60,1,South,2024-05-10
